GeneNames,logFC,p_values
SLC6A7,-0.4,0.0415232459919244
TSPAN9,-0.8,0.0184442798403162
BTBD7,0.8,6.80838274412358E-04
APBA3,0.4,0.00748622977250651
MKS1,0.7,3.97790322361115E-05
ABHD5,0.3,0.114686746770165
ANOS1,0.4,0.339491753912487
AKAP8L,-0.6,0.0358174111165917
MBTD1,0.7,0.0493149997855875
UTP18,0.3,0.178092882357002
RNF216,0.4,0.0705356301075693
TTC19,-0.4,0.0210081867957171
PTBP1,1.3,5.11220691254843E-07
DPF1,,
SYT7,-2.5,6.95972154597615E-11
LARS2,-0.4,0.149433377888655
PIK3C2A,0.5,0.0903646777938978
PLAUR,0.8,0.00765864875282416
ANLN,-1.7,0.00994679917431165
WIZ,-0.4,0.0267440736540415
RABGAP1,,
DCN,0.9,0.0141648793878367
QPCTL,,
PPP5C,-0.1,0.657371145199093
CEP68,-0.4,0.176245175048968
MAP4K3,-0.3,0.347733185071168
ZBTB32,-0.7,8.17304513806528E-04
TYROBP,1.4,7.64041960827609E-07
TMEM159,-0.1,0.864906839364541
GABRA3,0.1,0.841701599797807
BRCA1,0.3,0.221349249064188
ERCC1,0.7,0.00114236740447623
CD22,-0.5,0.0232145469008867
SEMA3B,-0.6,0.0957345210355768
MBTPS2,0.6,0.0363680372307673
PRICKLE3,0.1,0.745164554583386
LTF,1.7,0.0530025038620783
EXTL3,-0.2,0.194535541953717
NR1H4,,
ELOVL5,0.9,1.11205882228763E-05
ALOX5,1.5,1.59011468155535E-04
KDM5D,-1.7,0.00660611753495302
CALCOCO1,0.2,0.522322548042923
UBR7,-0.1,0.65886282973705
MAP4K5,1.6,3.14803157872663E-06
EHD3,0.6,0.0815388448209411
PSMC4,0.6,0.00164012792228604
MAN2B2,0.6,0.0171651438194991
SLC7A14,-2.2,1.05915022275329E-08
CLDN11,-0.2,0.759026027563776
SLC25A39,0.7,5.14409249288655E-04
MVP,1.9,2.45465222995844E-07
NUB1,,
PGM3,0.9,2.03518266779944E-05
RWDD2A,-0.1,0.40535765943153
CLK1,-0.1,0.835438046956113
POLR3B,-0.2,0.346229573612805
ANGEL1,0.3,0.0468126718855367
RNF14,-0.3,0.342064604271346
